source_case,similar_case,similarity_score,method,citation_link,source_case_topic
61980CJ0272,61988CJ0125,0.5006396228245201,tfidf,0,public health
61980CJ0272,62006CJ0260,0.4886427502506765,tfidf,0,public health
61980CJ0272,62013CJ0108,0.4526086908274775,tfidf,0,public health
61980CJ0272,61988CJ0025,0.44833095828623354,tfidf,1,public health
61980CJ0272,62003CJ0432,0.4227537245725065,tfidf,1,public health
61980CJ0272,61992CJ0249,0.39684669874403916,tfidf,0,public health
61980CJ0272,61982CJ0155,0.3927269216554182,tfidf,0,public health
61980CJ0272,61998CJ0306,0.3781360368514885,tfidf,0,public health
61980CJ0272,62009CJ0229,0.3763036525316331,tfidf,0,public health
61980CJ0272,62005CJ0138,0.37339527664440547,tfidf,0,public health
61980CJ0272,61967CJ0027,0.36769564330170645,tfidf,0,public health
61980CJ0272,61983CJ0037,0.35723115128461813,tfidf,0,public health
61980CJ0272,62004CJ0316,0.3566852364295083,tfidf,0,public health
61980CJ0272,62013CJ0011,0.3536127832749783,tfidf,0,public health
61980CJ0272,62012CJ0210,0.3343432100002136,tfidf,0,public health
61980CJ0272,61981CJ0006,0.3336995241295775,tfidf,0,public health
62009CJ0229,62012CJ0210,0.9014416122520466,tfidf,1,public health
62009CJ0229,62013CJ0011,0.7887117132377356,tfidf,1,public health
62009CJ0229,61999CJ0258,0.6548739585732033,tfidf,0,public health
62009CJ0229,61998CJ0306,0.6092671252798194,tfidf,1,public health
62009CJ0229,62005CJ0138,0.6030859543560422,tfidf,0,public health
62009CJ0229,62013CJ0108,0.5918722701603585,tfidf,0,public health
62009CJ0229,62004CJ0316,0.5915113357864495,tfidf,0,public health
62009CJ0229,61996CJ0100,0.5840444553041754,tfidf,0,public health
62009CJ0229,62006CJ0201,0.5762903121545261,tfidf,0,public health
62009CJ0229,62006CJ0260,0.5329773368937955,tfidf,0,public health
62009CJ0229,61996CJ0400,0.5328172616303564,tfidf,0,public health
62009CJ0229,62006CJ0361,0.5099170875096928,tfidf,0,public health
62009CJ0229,62016CJ0293,0.4962912807048029,tfidf,0,public health
62009CJ0229,62016CJ0325,0.4906937422197982,tfidf,0,public health
62009CJ0229,62005CJ0174,0.49008129103805775,tfidf,0,public health
62009CJ0229,62009CJ0363,0.45186627147454816,tfidf,0,public health
62009CJ0229,61994CJ0303,0.44643813317174447,tfidf,0,public health
62009CJ0229,62016CJ0492,0.4366123286853253,tfidf,0,public health
62009CJ0229,61988CJ0125,0.4346045975504663,tfidf,0,public health
62009CJ0229,61995CJ0110,0.4305394307390413,tfidf,0,public health
62003CJ0211,62005CJ0319,0.648129790548628,tfidf,1,public health
62003CJ0211,62007CJ0383,0.6447889232872235,tfidf,0,public health
62003CJ0211,62009CJ0327,0.6100778180066564,tfidf,0,public health
62003CJ0211,62007CJ0140,0.5745491188664001,tfidf,1,public health
62003CJ0211,62001CJ0236,0.5703430301039949,tfidf,0,public health
62003CJ0211,62014CJ0448,0.56703434191464,tfidf,0,public health
62003CJ0211,61988CJ0369,0.5530205799362897,tfidf,1,public health
62003CJ0211,62011CJ0636,0.5527821653958882,tfidf,0,public health
62003CJ0211,62015CJ0282,0.5460882974351828,tfidf,0,public health
62003CJ0211,62007CJ0527,0.5282211141131026,tfidf,0,public health
62003CJ0211,62004CJ0154,0.5256572798025211,tfidf,0,public health
62003CJ0211,62008CJ0027,0.5126430527403282,tfidf,0,public health
62003CJ0211,62002CJ0112,0.5091251189279334,tfidf,0,public health
62003CJ0211,62010CJ0185,0.5085863076193082,tfidf,0,public health
62003CJ0211,62013CJ0104,0.5056786001934351,tfidf,0,public health
62003CJ0211,62016CJ0557,0.49868447575336405,tfidf,0,public health
62003CJ0211,62003CJ0031,0.4956063296647289,tfidf,0,public health
62003CJ0211,62001CJ0223,0.4907739668931978,tfidf,0,public health
62003CJ0211,62013CJ0137,0.4874489169915408,tfidf,0,public health
62003CJ0211,62000CJ0229,0.4842289826047202,tfidf,0,public health
61987CJ0187,62003CJ0061,0.4385254353057759,tfidf,1,public health
61987CJ0187,61988CJ0070(01),0.4213666793483604,tfidf,0,public health
61987CJ0187,62008CJ0115,0.37264041527959346,tfidf,1,public health
61987CJ0187,61991CJ0155,0.3612993344276203,tfidf,0,public health
61987CJ0187,62008CJ0297,0.3528211496911322,tfidf,0,public health
61987CJ0187,61999CJ0292,0.34702114323074174,tfidf,0,public health
61987CJ0187,61990CJ0033,0.3455953584600893,tfidf,0,public health
61987CJ0187,61991CJ0146,0.3356509186636353,tfidf,0,public health
61987CJ0187,62002CJ0053,0.3283395629197908,tfidf,0,public health
61987CJ0187,61999CJ0029,0.3245782409584583,tfidf,1,public health
61987CJ0187,61997CJ0387,0.3224412957023266,tfidf,0,public health
61987CJ0187,61992CJ0422,0.3213371529373832,tfidf,0,public health
61987CJ0187,61988CJ0062,0.31866114792096606,tfidf,0,public health
61987CJ0187,61999CJ0324,0.3179618687066311,tfidf,0,public health
61987CJ0187,62003CJ0177,0.31015045168064115,tfidf,0,public health
61987CJ0187,61991CJ0045,0.30934927930280914,tfidf,0,public health
61987CJ0187,61990CJ0002,0.30407570843010173,tfidf,0,public health
61987CJ0187,61985CJ0372,0.30334061274078417,tfidf,0,public health
61987CJ0187,61982CJ0172,0.3032305305379005,tfidf,0,public health
61987CJ0187,62001CJ0116,0.30276389845850915,tfidf,0,public health
62007CJ0270,61997CJ0374,0.6942627816926663,tfidf,1,public health
62007CJ0270,62007CJ0309,0.6565541438521862,tfidf,1,public health
62007CJ0270,62000CJ0284,0.6076364632305336,tfidf,1,public health
62007CJ0270,61991CJ0156,0.5913174888923061,tfidf,0,public health
62007CJ0270,62005CJ0216,0.5085953818967899,tfidf,0,public health
62007CJ0270,62001CJ0423,0.4904780834409775,tfidf,0,public health
62007CJ0270,61998CJ0214,0.48254058436394653,tfidf,0,public health
62007CJ0270,62009CJ0523,0.46578129293005743,tfidf,1,public health
62007CJ0270,61987CJ0018,0.46170294758360914,tfidf,0,public health
62007CJ0270,62002CJ0002,0.42329785212797444,tfidf,0,public health
62007CJ0270,62015CJ0112,0.41862963760227834,tfidf,1,public health
62007CJ0270,62010CJ0284,0.4140093158109579,tfidf,0,public health
62007CJ0270,61989CJ0111,0.41132068714878467,tfidf,0,public health
62007CJ0270,62006CJ0181,0.39464722936594454,tfidf,0,public health
62007CJ0270,61994CJ0086,0.39025691139102336,tfidf,0,public health
62007CJ0270,62012CJ0427,0.3818600251067067,tfidf,0,public health
62007CJ0270,61999CJ0221,0.3798489842701833,tfidf,0,public health
62007CJ0270,61980CJ0032,0.3780201905825888,tfidf,0,public health
62007CJ0270,62004CJ0392,0.3759756808427342,tfidf,0,public health
62007CJ0270,61976CJ0046,0.371516392169998,tfidf,0,public health
62005CJ0174,62005CJ0138,0.5703673329360868,tfidf,1,public health
62005CJ0174,62004CJ0316,0.5507814191251207,tfidf,0,public health
62005CJ0174,61998CJ0306,0.4958648825622878,tfidf,0,public health
62005CJ0174,62009CJ0229,0.49008129103805775,tfidf,0,public health
62005CJ0174,62013CJ0108,0.475257849677204,tfidf,0,public health
62005CJ0174,62006CJ0201,0.4669755889917008,tfidf,0,public health
62005CJ0174,61996CJ0100,0.45848002876803223,tfidf,0,public health
62005CJ0174,62006CJ0361,0.4404673751284065,tfidf,0,public health
62005CJ0174,61996CJ0400,0.43539831976716137,tfidf,0,public health
62005CJ0174,62006CJ0260,0.435255814140142,tfidf,0,public health
62005CJ0174,62016CJ0293,0.4291012164478286,tfidf,0,public health
